請問您是否為大學生或研究生,性別,出生地,居住地,濾水裝置,飲用水來源,經歷水災,經歷限水,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Attitude_1,Attitude_2,Attitude_3,Attitude_4,Attitude_5,Attitude_6,Attitude_7,Attitude_8,Attitude_9,Behavior_1,Behavior_2,Behavior_3,Behavior_4,Behavior_5,Behavior_6,Behavior_7,Behavior_8,Knowledge_score,Attitude_score,Behavior_score
是,男,南部地區,其他,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,1,1,1,0,1,1,1,1,3,4,4,4,4,4,4,4,5,3,3,2,2,4,3,4,4,8,32,25
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,1,1,1,1,1,0,0,1,1,4,3,5,4,5,4,4,5,3,3,4,4,2,5,3,5,6,31,29
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,0,1,0,1,1,0,1,1,3,4,5,2,4,3,3,3,5,2,2,2,3,2,5,4,5,6,28,25
是,男,中部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,0,0,0,0,1,1,1,1,3,4,4,4,4,4,4,4,5,3,3,4,3,3,4,3,3,4,32,26
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,1,1,1,0,1,1,0,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,24,24
是,女,南部地區,南部地區,無,自來水,否,是,0,0,1,0,0,0,0,0,0,3,3,3,2,4,4,3,2,4,3,3,2,3,3,2,3,5,1,24,24
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,否,0,0,1,0,0,0,1,0,1,4,4,5,5,5,4,4,5,5,4,4,4,4,3,5,4,4,3,36,32
是,男,南部地區,南部地區,無,加水站,是,是,0,0,0,0,0,1,0,1,0,5,5,5,4,5,5,5,5,5,3,4,4,3,3,4,5,4,2,39,30
是,女,北部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,0,0,1,0,1,0,0,0,2,3,4,5,2,4,4,5,5,3,3,3,2,1,3,2,4,2,32,21
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,1,1,1,1,0,0,1,1,1,4,5,5,5,2,5,1,3,4,4,4,5,4,3,5,3,5,7,32,33
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,否,1,0,0,1,0,1,0,1,0,5,5,3,4,4,5,2,5,5,4,4,5,4,3,4,2,3,4,34,29
是,女,中部地區,中部地區,無,自來水,否,否,0,0,0,0,0,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,1,24,27
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,1,0,1,0,0,0,0,0,1,5,4,2,3,4,4,4,5,2,1,4,3,4,5,1,5,2,29,25
是,男,南部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,1,0,1,0,1,0,1,1,3,5,5,5,4,4,3,5,5,4,4,5,4,1,4,5,4,5,35,31
是,女,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,0,0,1,0,0,0,1,1,1,2,5,5,5,3,4,1,4,4,3,2,3,3,4,4,2,3,4,30,24
是,女,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,1,0,1,0,1,0,0,0,1,3,4,5,4,4,4,3,4,4,4,4,4,4,3,3,5,4,4,31,31
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,加水站,否,是,0,1,0,1,0,1,1,0,0,5,5,4,3,3,4,4,4,4,4,4,4,4,4,5,4,5,4,33,34
是,男,南部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,1,0,0,0,3,4,4,3,3,4,3,4,4,3,3,4,4,3,4,3,3,3,29,27
是,男,中部地區,南部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,是,是,0,1,0,0,1,1,0,1,0,3,3,5,4,1,4,2,1,2,4,3,4,3,4,2,3,3,4,24,26
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,0,0,1,0,5,5,5,2,1,5,1,3,5,4,4,3,3,3,4,3,5,3,31,29
是,男,南部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,否,1,1,0,1,0,1,0,1,0,4,4,5,3,4,4,4,5,5,4,4,4,4,4,4,2,3,5,34,29
是,男,中部地區,中部地區,無,加水站,否,是,0,1,0,1,0,0,1,0,0,1,4,3,4,4,3,4,4,5,2,3,2,3,2,4,2,4,3,28,22
是,男,中部地區,中部地區,無,加水站,否,是,0,0,0,1,0,1,0,0,0,2,4,4,5,1,3,2,5,5,3,3,3,3,3,3,3,3,2,30,24
是,男,南部地區,北部地區,有濾水壺或Ro逆滲透、飲水機等等,自來水,否,是,0,1,0,1,0,0,0,0,0,3,5,2,4,2,4,2,4,4,3,4,3,3,2,3,2,3,2,28,23
是,男,中部地區,中部地區,有濾水壺或Ro逆滲透、飲水機等等,市售礦泉水,否,是,0,1,0,1,0,0,0,1,1,3,5,4,3,3,4,3,1,3,5,5,4,5,4,5,4,5,4,26,37
